"14020: First time registered vehicles, by type of registration, month and contents"

"type of registration";"month";"Private cars";"Vans and motorhomes";"Lorries"
"New vehicles";"1998M01";9639;1982;483
"New vehicles";"1998M02";9687;1644;390
"New vehicles";"1998M03";12913;1930;446
"New vehicles";"1998M04";12349;1758;465
"New vehicles";"1998M05";14269;1761;436
"New vehicles";"1998M06";13047;1575;496
"New vehicles";"1998M07";14633;1742;478
"New vehicles";"1998M08";10549;1750;392
"New vehicles";"1998M09";10976;1903;463
"New vehicles";"1998M10";10648;1832;455
"New vehicles";"1998M11";10311;1699;436
"New vehicles";"1998M12";7319;1561;358
"New vehicles";"1999M01";9576;1767;417
"New vehicles";"1999M02";8831;1437;363
"New vehicles";"1999M03";10801;1565;420
"New vehicles";"1999M04";9728;1431;333
"New vehicles";"1999M05";9559;1338;319
"New vehicles";"1999M06";10677;1412;435
"New vehicles";"1999M07";12277;1451;326
"New vehicles";"1999M08";8991;1454;266
"New vehicles";"1999M09";10068;1614;346
"New vehicles";"1999M10";10180;1762;313
"New vehicles";"1999M11";10691;1905;354
"New vehicles";"1999M12";8730;1853;329
"New vehicles";"2000M01";11557;1897;420
"New vehicles";"2000M02";9544;1557;333
"New vehicles";"2000M03";11120;1817;408
"New vehicles";"2000M04";9185;1378;318
"New vehicles";"2000M05";11938;1624;442
"New vehicles";"2000M06";10196;1592;420
"New vehicles";"2000M07";10924;1512;326
"New vehicles";"2000M08";9364;1639;324
"New vehicles";"2000M09";9032;1485;342
"New vehicles";"2000M10";9202;1720;367
"New vehicles";"2000M11";9512;1769;345
"New vehicles";"2000M12";8227;2101;314
"New vehicles";"2001M01";9868;1689;378
"New vehicles";"2001M02";8863;1558;291
"New vehicles";"2001M03";11635;1960;359
"New vehicles";"2001M04";9101;1399;294
"New vehicles";"2001M05";10346;1616;331
"New vehicles";"2001M06";9439;1265;372
"New vehicles";"2001M07";10640;3437;279
"New vehicles";"2001M08";9585;2423;282
"New vehicles";"2001M09";8947;1848;296
"New vehicles";"2001M10";10080;1651;357
"New vehicles";"2001M11";9118;1551;339
"New vehicles";"2001M12";7084;1448;255
"New vehicles";"2002M01";8742;1544;334
"New vehicles";"2002M02";8440;1437;305
"New vehicles";"2002M03";8505;1275;281
"New vehicles";"2002M04";10382;1618;353
"New vehicles";"2002M05";9554;1701;352
"New vehicles";"2002M06";8863;1427;353
"New vehicles";"2002M07";10704;1343;309
"New vehicles";"2002M08";8989;1438;316
"New vehicles";"2002M09";8795;1371;325
"New vehicles";"2002M10";9883;1871;353
"New vehicles";"2002M11";8386;1783;350
"New vehicles";"2002M12";6674;1352;253
"New vehicles";"2003M01";8389;1614;385
"New vehicles";"2003M02";8040;1607;324
"New vehicles";"2003M03";8457;1727;337
"New vehicles";"2003M04";8537;1563;387
"New vehicles";"2003M05";9735;1504;416
"New vehicles";"2003M06";9224;1620;403
"New vehicles";"2003M07";10555;1484;335
"New vehicles";"2003M08";8211;1482;274
"New vehicles";"2003M09";9427;1766;436
"New vehicles";"2003M10";10908;1750;350
"New vehicles";"2003M11";9628;1971;307
"New vehicles";"2003M12";7895;1518;355
"New vehicles";"2004M01";9734;1596;401
"New vehicles";"2004M02";10135;1517;357
"New vehicles";"2004M03";12703;2037;416
"New vehicles";"2004M04";10880;1898;406
"New vehicles";"2004M05";10845;1895;385
"New vehicles";"2004M06";11624;2011;471
"New vehicles";"2004M07";11829;1933;427
"New vehicles";"2004M08";9620;2095;340
"New vehicles";"2004M09";11075;2067;368
"New vehicles";"2004M10";11598;2138;362
"New vehicles";"2004M11";11954;2103;355
"New vehicles";"2004M12";14478;2601;360
"New vehicles";"2005M01";9623;2035;508
"New vehicles";"2005M02";10902;2105;352
"New vehicles";"2005M03";12330;2289;393
"New vehicles";"2005M04";13185;2618;567
"New vehicles";"2005M05";10988;2185;477
"New vehicles";"2005M06";10889;2343;532
"New vehicles";"2005M07";10724;2011;472
"New vehicles";"2005M08";9475;2341;346
"New vehicles";"2005M09";9781;2236;450
