"STATISTIC Label","Year","Component","UNIT","VALUE"
"Annual Population Change","1998","Population","Thousand","3703.1"
"Annual Population Change","1999","Population","Thousand","3741.6"
"Annual Population Change","2000","Population","Thousand","3789.5"
"Annual Population Change","2001","Population","Thousand","3847.2"
"Annual Population Change","2002","Population","Thousand","3917.2"
"Annual Population Change","2003","Population","Thousand","3979.9"
"Annual Population Change","2004","Population","Thousand","4045.2"
"Annual Population Change","2005","Population","Thousand","4133.8"
"Annual Population Change","2006","Population","Thousand","4232.9"
"Annual Population Change","2007","Population","Thousand","4375.8"
"Annual Population Change","2008","Population","Thousand","4485.1"
"Annual Population Change","2009","Population","Thousand","4533.4"
"Annual Population Change","2010","Population","Thousand","4554.8"
"Annual Population Change","2011","Population","Thousand","4574.9"
"Annual Population Change","2012","Population","Thousand","4593.7"
"Annual Population Change","2013","Population","Thousand","4614.7"
"Annual Population Change","2014","Population","Thousand","4645.4"
"Annual Population Change","2015","Population","Thousand","4687.8"
"Annual Population Change","2016","Population","Thousand","4739.6"
"Annual Population Change","2017","Population","Thousand","4810.9"
"Annual Population Change","2018","Population","Thousand","4884.9"
"Annual Population Change","2019","Population","Thousand","4958.5"
"Annual Population Change","2020","Population","Thousand","5029.9"
"Annual Population Change","2021","Population","Thousand","5074.7"
"Annual Population Change","2022","Population","Thousand","5184"
"Annual Population Change","2023","Population","Thousand","5281.6"
